Tue Jun  1 12:16:27 2021
First batch shape: (The shape of batches are not same)
torch.Size([13, 8, 512]) 12
epo0 <tr>-<gen>: l_dis=1.47-1.47, l_cla=6.22-6.22, l_rec=66.57-90.42, l1=0.00, cer=146.42-122.24-121.92, time=56.7
epo29 <tr>-<gen>: l_dis=1.33-1.28, l_cla=5.57-5.87, l_rec=39.54-62.64, l1=0.00, cer=70.20-77.80-77.70, time=34.8
epo30 <tr>-<gen>: l_dis=1.35-0.74, l_cla=5.66-5.90, l_rec=39.19-63.46, l1=0.00, cer=70.25-76.89-76.96, time=35.1
epo31 <tr>-<gen>: l_dis=1.27-0.81, l_cla=5.53-5.88, l_rec=40.77-64.78, l1=0.00, cer=71.82-76.20-77.79, time=34.9
epo32 <tr>-<gen>: l_dis=1.03-1.58, l_cla=5.50-5.92, l_rec=39.54-63.36, l1=0.00, cer=71.47-77.77-77.10, time=35.1
epo33 <tr>-<gen>: l_dis=1.27-1.02, l_cla=5.50-5.96, l_rec=36.31-64.05, l1=0.00, cer=67.97-76.22-76.38, time=35.0
epo34 <tr>-<gen>: l_dis=1.24-1.01, l_cla=5.48-5.92, l_rec=37.37-62.22, l1=0.00, cer=67.46-75.77-76.86, time=34.8
epo35 <tr>-<gen>: l_dis=1.18-1.20, l_cla=5.48-5.99, l_rec=36.47-62.83, l1=0.00, cer=68.30-77.88-77.45, time=35.1
epo36 <tr>-<gen>: l_dis=1.79-1.46, l_cla=5.43-6.01, l_rec=37.98-61.59, l1=0.00, cer=68.53-76.67-75.99, time=35.0
epo37 <tr>-<gen>: l_dis=1.06-1.38, l_cla=5.47-5.96, l_rec=37.80-61.88, l1=0.00, cer=68.22-75.90-75.32, time=34.8
epo38 <tr>-<gen>: l_dis=1.24-1.55, l_cla=5.36-6.16, l_rec=39.22-62.45, l1=0.00, cer=68.28-75.89-76.69, time=34.7
epo39 <tr>-<gen>: l_dis=1.34-0.95, l_cla=5.38-6.15, l_rec=38.62-62.57, l1=0.00, cer=66.32-75.79-75.63, time=34.8
epo40 <tr>-<gen>: l_dis=1.12-1.04, l_cla=5.40-6.04, l_rec=37.46-61.22, l1=0.00, cer=67.20-75.62-75.09, time=34.7
EVAL: l_dis=0.435, l_cla=5.926, l_rec=59.685, cer=75.94-74.27, time=19.0
epo41 <tr>-<gen>: l_dis=0.87-1.53, l_cla=5.35-6.05, l_rec=37.70-61.52, l1=0.00, cer=68.36-74.00-74.17, time=33.9
epo42 <tr>-<gen>: l_dis=1.05-1.23, l_cla=5.32-6.28, l_rec=37.96-60.79, l1=0.00, cer=68.48-74.77-76.81, time=34.8
epo43 <tr>-<gen>: l_dis=0.99-1.05, l_cla=5.33-6.00, l_rec=37.48-60.33, l1=0.00, cer=65.82-74.43-74.71, time=35.1
epo44 <tr>-<gen>: l_dis=0.92-1.35, l_cla=5.24-6.13, l_rec=37.31-60.79, l1=0.00, cer=66.12-72.93-73.23, time=35.0
epo45 <tr>-<gen>: l_dis=1.45-0.74, l_cla=5.27-6.20, l_rec=37.82-59.97, l1=0.00, cer=67.90-74.09-73.49, time=35.0
epo46 <tr>-<gen>: l_dis=1.42-0.90, l_cla=5.23-6.19, l_rec=40.14-60.55, l1=0.00, cer=66.88-73.37-71.09, time=34.9
epo47 <tr>-<gen>: l_dis=1.41-0.79, l_cla=5.22-6.14, l_rec=38.09-59.77, l1=0.00, cer=65.77-72.12-72.52, time=34.8
epo48 <tr>-<gen>: l_dis=1.28-0.84, l_cla=5.22-6.32, l_rec=35.61-59.21, l1=0.00, cer=63.01-70.98-70.93, time=35.2
epo49 <tr>-<gen>: l_dis=1.04-1.20, l_cla=5.19-6.17, l_rec=37.19-58.88, l1=0.00, cer=63.77-71.16-70.60, time=34.8
epo50 <tr>-<gen>: l_dis=1.09-0.82, l_cla=5.16-6.27, l_rec=36.48-58.87, l1=0.00, cer=63.86-72.04-71.88, time=35.0
epo51 <tr>-<gen>: l_dis=1.15-1.04, l_cla=5.19-6.16, l_rec=34.17-57.32, l1=0.00, cer=60.51-69.80-70.74, time=34.2
epo52 <tr>-<gen>: l_dis=0.89-1.66, l_cla=5.13-6.22, l_rec=35.72-58.61, l1=0.00, cer=61.23-71.10-70.52, time=34.7
epo53 <tr>-<gen>: l_dis=1.08-1.08, l_cla=5.15-6.33, l_rec=33.73-58.97, l1=0.00, cer=61.35-68.40-71.06, time=34.9
epo54 <tr>-<gen>: l_dis=1.29-1.36, l_cla=5.09-6.56, l_rec=34.97-59.19, l1=0.00, cer=62.58-72.47-71.03, time=35.1
epo55 <tr>-<gen>: l_dis=1.23-1.11, l_cla=5.09-6.53, l_rec=35.47-57.52, l1=0.00, cer=62.24-69.80-71.51, time=34.6
epo56 <tr>-<gen>: l_dis=1.02-1.51, l_cla=5.07-6.50, l_rec=35.84-58.78, l1=0.00, cer=63.12-71.06-72.46, time=34.8
epo57 <tr>-<gen>: l_dis=1.06-1.06, l_cla=5.08-6.42, l_rec=33.93-58.16, l1=0.00, cer=61.46-70.47-70.16, time=34.8
epo58 <tr>-<gen>: l_dis=1.11-1.46, l_cla=4.98-6.22, l_rec=33.08-57.91, l1=0.00, cer=60.17-70.98-71.18, time=34.8
epo59 <tr>-<gen>: l_dis=1.08-1.20, l_cla=5.05-6.32, l_rec=36.26-58.42, l1=0.00, cer=60.76-72.18-72.56, time=35.1
epo60 <tr>-<gen>: l_dis=1.06-1.38, l_cla=5.01-6.35, l_rec=34.83-57.81, l1=0.00, cer=58.87-70.19-71.03, time=34.8
EVAL: l_dis=1.504, l_cla=6.387, l_rec=56.594, cer=72.08-68.11, time=16.0
epo61 <tr>-<gen>: l_dis=1.37-0.87, l_cla=4.98-6.39, l_rec=35.21-59.14, l1=0.00, cer=59.87-71.14-71.60, time=34.4
epo62 <tr>-<gen>: l_dis=1.27-0.89, l_cla=4.97-6.40, l_rec=32.15-56.50, l1=0.00, cer=55.77-67.40-69.87, time=34.9
epo63 <tr>-<gen>: l_dis=1.24-1.18, l_cla=4.96-6.21, l_rec=34.46-57.40, l1=0.00, cer=60.74-68.83-68.62, time=34.8
epo64 <tr>-<gen>: l_dis=1.26-1.05, l_cla=4.97-6.41, l_rec=32.83-56.94, l1=0.00, cer=57.92-69.54-69.61, time=34.9
epo65 <tr>-<gen>: l_dis=1.22-1.06, l_cla=4.88-6.31, l_rec=33.27-57.25, l1=0.00, cer=57.21-70.86-70.54, time=35.1
epo66 <tr>-<gen>: l_dis=1.07-1.42, l_cla=4.87-6.65, l_rec=35.53-56.93, l1=0.00, cer=60.71-71.08-69.36, time=34.8
epo67 <tr>-<gen>: l_dis=1.10-1.50, l_cla=4.87-6.74, l_rec=34.28-56.63, l1=0.00, cer=58.93-69.01-71.28, time=35.1
epo68 <tr>-<gen>: l_dis=1.05-1.23, l_cla=4.86-6.55, l_rec=34.12-56.48, l1=0.00, cer=58.33-70.38-69.99, time=35.0
epo69 <tr>-<gen>: l_dis=1.00-1.42, l_cla=4.84-6.44, l_rec=32.74-57.16, l1=0.00, cer=58.08-70.83-69.56, time=35.0
epo70 <tr>-<gen>: l_dis=0.68-1.89, l_cla=4.78-6.51, l_rec=33.37-57.17, l1=0.00, cer=56.59-70.05-69.37, time=35.1
epo71 <tr>-<gen>: l_dis=0.90-1.49, l_cla=4.79-6.47, l_rec=33.93-55.98, l1=0.00, cer=59.83-69.76-68.43, time=35.0
epo72 <tr>-<gen>: l_dis=1.06-1.86, l_cla=4.83-6.08, l_rec=31.71-58.04, l1=0.00, cer=56.05-69.66-69.42, time=34.8
epo73 <tr>-<gen>: l_dis=0.80-1.47, l_cla=4.76-6.25, l_rec=33.38-57.39, l1=0.00, cer=57.02-69.06-68.57, time=34.8
epo74 <tr>-<gen>: l_dis=1.10-1.35, l_cla=4.99-6.21, l_rec=33.21-57.10, l1=0.00, cer=56.19-70.23-70.81, time=34.9
epo75 <tr>-<gen>: l_dis=0.98-1.10, l_cla=4.81-5.23, l_rec=31.95-55.89, l1=0.00, cer=54.27-69.19-68.49, time=34.8
epo76 <tr>-<gen>: l_dis=0.79-2.03, l_cla=4.74-5.28, l_rec=31.89-56.64, l1=0.00, cer=56.87-68.42-68.97, time=35.0
epo77 <tr>-<gen>: l_dis=0.80-1.71, l_cla=4.76-5.28, l_rec=33.10-55.61, l1=0.00, cer=56.33-70.17-68.54, time=34.9
epo78 <tr>-<gen>: l_dis=0.67-1.91, l_cla=4.71-5.62, l_rec=32.33-56.94, l1=0.00, cer=56.21-68.70-69.78, time=34.9
epo79 <tr>-<gen>: l_dis=0.89-1.43, l_cla=4.70-5.11, l_rec=30.49-56.00, l1=0.00, cer=53.77-68.97-69.00, time=34.9
epo80 <tr>-<gen>: l_dis=0.74-1.71, l_cla=4.77-5.17, l_rec=33.29-54.40, l1=0.00, cer=56.87-67.29-67.50, time=34.9
EVAL: l_dis=1.625, l_cla=7.716, l_rec=53.520, cer=67.88-64.00, time=14.7
epo81 <tr>-<gen>: l_dis=0.68-1.95, l_cla=4.72-4.96, l_rec=33.46-56.16, l1=0.00, cer=56.46-67.90-68.12, time=34.3
epo82 <tr>-<gen>: l_dis=0.64-2.38, l_cla=4.70-5.35, l_rec=31.14-55.64, l1=0.00, cer=54.33-67.47-67.94, time=34.9
epo83 <tr>-<gen>: l_dis=0.69-1.72, l_cla=4.63-5.09, l_rec=31.31-56.49, l1=0.00, cer=54.32-70.23-69.38, time=34.7
epo84 <tr>-<gen>: l_dis=0.55-2.19, l_cla=4.66-4.89, l_rec=31.87-55.98, l1=0.00, cer=52.61-68.28-67.52, time=35.0
epo85 <tr>-<gen>: l_dis=0.85-1.59, l_cla=4.69-4.98, l_rec=32.37-55.98, l1=0.00, cer=56.46-69.69-69.12, time=35.5
epo86 <tr>-<gen>: l_dis=0.77-1.89, l_cla=4.56-4.95, l_rec=30.23-55.21, l1=0.00, cer=53.55-68.86-66.79, time=35.0
epo87 <tr>-<gen>: l_dis=0.77-2.07, l_cla=4.65-4.82, l_rec=30.86-55.63, l1=0.00, cer=54.34-67.01-67.20, time=34.8
epo88 <tr>-<gen>: l_dis=0.66-1.91, l_cla=4.68-4.76, l_rec=31.10-54.60, l1=0.00, cer=53.86-65.61-67.35, time=34.8
epo89 <tr>-<gen>: l_dis=0.67-2.22, l_cla=4.66-4.84, l_rec=29.36-54.11, l1=0.00, cer=51.80-66.61-67.13, time=34.9
epo90 <tr>-<gen>: l_dis=0.62-1.93, l_cla=4.63-4.78, l_rec=32.43-55.44, l1=0.00, cer=55.00-67.22-67.66, time=34.9
epo91 <tr>-<gen>: l_dis=0.64-2.01, l_cla=4.52-4.68, l_rec=29.24-54.10, l1=0.00, cer=51.98-66.65-66.65, time=35.0
epo92 <tr>-<gen>: l_dis=0.66-1.88, l_cla=4.57-4.56, l_rec=28.26-54.75, l1=0.00, cer=49.58-66.75-67.20, time=34.7
epo93 <tr>-<gen>: l_dis=0.63-2.26, l_cla=4.58-4.53, l_rec=29.42-53.78, l1=0.00, cer=52.32-66.02-67.03, time=34.9
epo94 <tr>-<gen>: l_dis=0.52-2.37, l_cla=4.72-4.72, l_rec=31.47-54.23, l1=0.00, cer=53.79-66.74-66.32, time=34.9
epo95 <tr>-<gen>: l_dis=0.40-2.81, l_cla=4.56-4.71, l_rec=29.49-54.67, l1=0.00, cer=50.72-65.88-66.35, time=34.9
epo96 <tr>-<gen>: l_dis=0.34-3.20, l_cla=4.52-4.71, l_rec=30.51-53.74, l1=0.00, cer=51.40-67.06-65.98, time=35.0
epo97 <tr>-<gen>: l_dis=0.62-2.86, l_cla=4.51-4.92, l_rec=29.28-54.30, l1=0.00, cer=51.04-67.24-66.86, time=34.7
epo98 <tr>-<gen>: l_dis=0.54-2.75, l_cla=4.50-4.77, l_rec=31.26-54.24, l1=0.00, cer=53.09-67.44-66.38, time=34.9
epo99 <tr>-<gen>: l_dis=0.39-2.67, l_cla=4.43-4.57, l_rec=28.23-52.83, l1=0.00, cer=48.73-65.19-66.81, time=36.0
epo100 <tr>-<gen>: l_dis=0.41-3.07, l_cla=4.47-4.66, l_rec=29.03-53.17, l1=0.00, cer=50.92-65.40-67.28, time=34.8
EVAL: l_dis=2.476, l_cla=8.344, l_rec=51.759, cer=67.33-65.19, time=12.3
epo101 <tr>-<gen>: l_dis=0.35-3.40, l_cla=4.54-4.80, l_rec=28.17-55.65, l1=0.00, cer=47.86-67.50-66.68, time=33.6
epo102 <tr>-<gen>: l_dis=0.34-3.80, l_cla=4.51-4.88, l_rec=28.96-53.59, l1=0.00, cer=50.49-65.59-66.89, time=34.0
epo103 <tr>-<gen>: l_dis=0.72-2.35, l_cla=4.54-4.90, l_rec=29.46-53.86, l1=0.00, cer=50.63-66.58-66.93, time=34.4
epo104 <tr>-<gen>: l_dis=0.44-2.80, l_cla=4.53-4.66, l_rec=29.96-54.03, l1=0.00, cer=52.28-65.39-66.34, time=34.6
epo105 <tr>-<gen>: l_dis=0.60-2.60, l_cla=4.61-4.89, l_rec=27.07-53.81, l1=0.00, cer=48.12-66.56-66.11, time=34.6
epo106 <tr>-<gen>: l_dis=0.40-2.87, l_cla=4.54-4.57, l_rec=30.49-52.46, l1=0.00, cer=51.57-65.16-63.36, time=34.7
epo107 <tr>-<gen>: l_dis=0.39-2.98, l_cla=4.52-4.73, l_rec=29.33-53.03, l1=0.00, cer=50.82-64.44-65.31, time=34.5
epo108 <tr>-<gen>: l_dis=0.56-2.92, l_cla=4.43-4.58, l_rec=26.42-52.99, l1=0.00, cer=47.90-64.90-63.77, time=34.6
epo109 <tr>-<gen>: l_dis=0.39-2.96, l_cla=4.51-4.85, l_rec=29.70-53.61, l1=0.00, cer=51.46-66.70-65.22, time=34.4
epo110 <tr>-<gen>: l_dis=0.36-3.11, l_cla=4.45-4.65, l_rec=28.72-53.41, l1=0.00, cer=50.11-64.83-65.22, time=34.3
epo111 <tr>-<gen>: l_dis=0.49-3.31, l_cla=4.52-4.57, l_rec=27.50-53.55, l1=0.00, cer=50.16-65.41-65.06, time=34.3
epo112 <tr>-<gen>: l_dis=0.47-2.68, l_cla=4.44-4.56, l_rec=29.77-52.73, l1=0.00, cer=50.88-63.85-62.85, time=34.3
epo113 <tr>-<gen>: l_dis=0.47-3.14, l_cla=4.42-4.43, l_rec=28.45-52.30, l1=0.00, cer=48.46-65.13-64.22, time=34.6
epo114 <tr>-<gen>: l_dis=0.32-3.35, l_cla=4.52-4.48, l_rec=29.20-51.64, l1=0.00, cer=49.48-63.75-63.66, time=34.4
epo115 <tr>-<gen>: l_dis=0.37-3.41, l_cla=4.43-4.64, l_rec=30.29-52.97, l1=0.00, cer=49.75-63.72-64.71, time=34.5
epo116 <tr>-<gen>: l_dis=0.48-3.52, l_cla=4.44-4.72, l_rec=29.12-52.47, l1=0.00, cer=48.15-64.28-65.86, time=34.4
epo117 <tr>-<gen>: l_dis=0.40-3.29, l_cla=4.44-4.54, l_rec=26.87-51.96, l1=0.00, cer=47.68-64.37-62.72, time=34.6
epo118 <tr>-<gen>: l_dis=0.38-3.14, l_cla=4.44-4.53, l_rec=29.18-51.08, l1=0.00, cer=47.81-61.59-63.36, time=34.5
epo119 <tr>-<gen>: l_dis=0.24-4.17, l_cla=4.45-4.53, l_rec=28.50-51.49, l1=0.00, cer=47.02-62.98-63.76, time=34.4
epo120 <tr>-<gen>: l_dis=0.33-3.98, l_cla=4.52-4.54, l_rec=26.70-51.18, l1=0.00, cer=48.18-62.05-62.53, time=34.5
EVAL: l_dis=5.402, l_cla=8.908, l_rec=49.865, cer=63.36-60.65, time=13.1
epo121 <tr>-<gen>: l_dis=0.43-3.34, l_cla=4.60-4.64, l_rec=26.56-51.65, l1=0.00, cer=46.29-61.52-64.08, time=33.9
epo122 <tr>-<gen>: l_dis=0.36-3.88, l_cla=4.34-4.62, l_rec=26.97-51.07, l1=0.00, cer=48.11-61.74-62.85, time=34.4
epo123 <tr>-<gen>: l_dis=0.34-3.17, l_cla=4.48-4.57, l_rec=28.30-51.03, l1=0.00, cer=48.47-62.81-62.06, time=34.4
epo124 <tr>-<gen>: l_dis=0.36-3.49, l_cla=4.39-4.63, l_rec=28.44-51.76, l1=0.00, cer=49.05-62.18-63.87, time=34.3
epo125 <tr>-<gen>: l_dis=0.43-3.79, l_cla=4.36-5.59, l_rec=26.70-51.21, l1=0.00, cer=44.86-60.15-62.00, time=34.3
epo126 <tr>-<gen>: l_dis=0.42-3.17, l_cla=4.48-4.70, l_rec=25.82-50.44, l1=0.00, cer=45.51-61.51-61.88, time=34.1
epo127 <tr>-<gen>: l_dis=0.50-3.10, l_cla=4.43-4.42, l_rec=26.25-51.78, l1=0.00, cer=46.42-61.34-62.18, time=34.7
epo128 <tr>-<gen>: l_dis=0.30-3.54, l_cla=4.40-4.49, l_rec=25.57-49.91, l1=0.00, cer=45.55-61.28-62.69, time=34.4
epo129 <tr>-<gen>: l_dis=0.24-4.31, l_cla=4.33-4.60, l_rec=25.76-50.74, l1=0.00, cer=43.21-61.60-61.24, time=34.3
epo130 <tr>-<gen>: l_dis=0.29-3.98, l_cla=4.35-4.45, l_rec=27.41-49.97, l1=0.00, cer=47.44-61.35-61.24, time=34.2
epo131 <tr>-<gen>: l_dis=0.38-3.53, l_cla=4.45-4.63, l_rec=28.52-49.58, l1=0.00, cer=47.01-59.99-61.95, time=34.5
epo132 <tr>-<gen>: l_dis=0.35-3.62, l_cla=4.38-4.59, l_rec=24.23-50.20, l1=0.00, cer=43.44-60.75-61.28, time=34.6
epo133 <tr>-<gen>: l_dis=0.30-3.95, l_cla=4.44-4.36, l_rec=26.07-49.85, l1=0.00, cer=44.33-60.88-60.46, time=34.6
epo134 <tr>-<gen>: l_dis=0.37-4.12, l_cla=4.41-4.40, l_rec=26.07-50.25, l1=0.00, cer=48.07-59.81-61.96, time=34.4
epo135 <tr>-<gen>: l_dis=0.33-4.34, l_cla=4.57-4.67, l_rec=26.42-50.16, l1=0.00, cer=45.49-60.66-61.22, time=34.2
epo136 <tr>-<gen>: l_dis=0.40-3.35, l_cla=4.33-4.38, l_rec=24.56-48.66, l1=0.00, cer=42.43-60.33-59.28, time=34.2
epo137 <tr>-<gen>: l_dis=0.27-4.06, l_cla=4.28-4.56, l_rec=27.13-48.01, l1=0.00, cer=44.12-57.69-59.80, time=34.6
epo138 <tr>-<gen>: l_dis=0.26-4.20, l_cla=4.31-4.49, l_rec=26.00-48.97, l1=0.00, cer=44.15-59.50-59.74, time=34.1
epo139 <tr>-<gen>: l_dis=0.25-4.33, l_cla=4.29-4.57, l_rec=26.68-49.08, l1=0.00, cer=46.82-60.26-61.61, time=34.5
epo140 <tr>-<gen>: l_dis=0.30-4.32, l_cla=4.31-4.48, l_rec=27.35-49.96, l1=0.00, cer=46.55-59.45-59.94, time=34.7
EVAL: l_dis=3.664, l_cla=9.371, l_rec=46.975, cer=59.93-58.59, time=12.2
epo141 <tr>-<gen>: l_dis=0.33-4.37, l_cla=4.36-4.92, l_rec=24.89-49.93, l1=0.00, cer=44.42-59.88-60.43, time=34.2
epo142 <tr>-<gen>: l_dis=0.49-2.80, l_cla=4.39-4.44, l_rec=26.56-48.35, l1=0.00, cer=43.69-59.92-60.18, time=34.2
epo143 <tr>-<gen>: l_dis=0.23-4.09, l_cla=4.32-4.64, l_rec=26.87-48.43, l1=0.00, cer=45.60-58.77-58.30, time=34.4
epo144 <tr>-<gen>: l_dis=0.40-3.69, l_cla=4.41-4.59, l_rec=25.27-48.43, l1=0.00, cer=43.65-59.34-59.27, time=34.3
epo145 <tr>-<gen>: l_dis=0.26-3.81, l_cla=4.37-4.52, l_rec=27.50-47.96, l1=0.00, cer=46.32-58.85-57.90, time=34.2
epo146 <tr>-<gen>: l_dis=0.35-3.94, l_cla=4.32-4.59, l_rec=25.02-47.48, l1=0.00, cer=43.71-56.47-59.59, time=34.2
epo147 <tr>-<gen>: l_dis=0.34-3.70, l_cla=4.34-4.56, l_rec=25.29-48.46, l1=0.00, cer=43.01-57.45-59.00, time=34.6
epo148 <tr>-<gen>: l_dis=0.37-3.49, l_cla=4.28-4.61, l_rec=24.42-47.12, l1=0.00, cer=43.10-57.58-55.97, time=34.4
epo149 <tr>-<gen>: l_dis=0.32-3.94, l_cla=4.35-4.41, l_rec=27.35-48.68, l1=0.00, cer=45.15-58.32-57.72, time=34.5
epo150 <tr>-<gen>: l_dis=0.28-3.69, l_cla=4.39-4.37, l_rec=23.93-48.42, l1=0.00, cer=41.20-56.84-58.30, time=34.3
epo151 <tr>-<gen>: l_dis=0.22-4.38, l_cla=4.34-4.55, l_rec=24.24-48.65, l1=0.00, cer=41.65-57.77-57.06, time=33.4
epo152 <tr>-<gen>: l_dis=0.27-4.55, l_cla=4.38-4.60, l_rec=24.70-47.47, l1=0.00, cer=41.26-57.32-56.50, time=34.6
epo153 <tr>-<gen>: l_dis=0.39-4.31, l_cla=4.28-4.65, l_rec=25.39-47.24, l1=0.00, cer=42.42-56.22-56.70, time=34.4
epo154 <tr>-<gen>: l_dis=0.38-4.06, l_cla=4.33-4.80, l_rec=24.10-46.85, l1=0.00, cer=42.65-57.56-57.55, time=34.7
epo155 <tr>-<gen>: l_dis=0.33-3.53, l_cla=4.31-4.49, l_rec=24.60-46.96, l1=0.00, cer=42.00-56.55-56.17, time=34.2
epo156 <tr>-<gen>: l_dis=0.26-4.37, l_cla=4.44-4.31, l_rec=26.41-48.10, l1=0.00, cer=44.94-57.40-56.96, time=34.9
epo157 <tr>-<gen>: l_dis=0.32-4.20, l_cla=4.32-4.30, l_rec=22.46-46.56, l1=0.00, cer=40.16-54.24-56.18, time=34.3
epo158 <tr>-<gen>: l_dis=0.29-4.21, l_cla=4.31-4.43, l_rec=23.90-46.37, l1=0.00, cer=41.30-54.51-57.28, time=34.3
epo159 <tr>-<gen>: l_dis=0.41-3.10, l_cla=4.34-4.49, l_rec=24.90-46.88, l1=0.00, cer=41.68-55.81-57.61, time=34.8
epo160 <tr>-<gen>: l_dis=0.31-4.01, l_cla=4.33-4.36, l_rec=22.09-45.91, l1=0.00, cer=39.01-56.12-56.05, time=34.5
EVAL: l_dis=2.906, l_cla=9.259, l_rec=44.796, cer=54.19-54.70, time=11.8
epo161 <tr>-<gen>: l_dis=0.24-4.31, l_cla=4.39-4.28, l_rec=22.84-47.16, l1=0.00, cer=41.51-56.30-56.50, time=34.2
epo162 <tr>-<gen>: l_dis=0.31-4.02, l_cla=4.19-4.29, l_rec=24.34-46.03, l1=0.00, cer=42.45-56.13-56.79, time=34.2
epo163 <tr>-<gen>: l_dis=0.71-3.73, l_cla=4.29-4.63, l_rec=24.75-46.89, l1=0.00, cer=41.51-56.63-57.40, time=34.4
epo164 <tr>-<gen>: l_dis=0.69-2.29, l_cla=4.20-4.43, l_rec=24.82-46.28, l1=0.00, cer=41.60-56.00-54.79, time=34.3
